Indicator,State,Value,Low CI,High CI,Confidence Interval,Quartile Range
Symptoms of Anxiety Disorder,Washington,30.6,27.7,33.7,27.7 - 33.7,30.4 - 31.6
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,35,32.2,37.8,32.2 - 37.8,34.8 - 36.7
Symptoms of Depressive Disorder,Washington,22.9,19.4,26.6,19.4 - 26.6,20.7 - 23.0
Symptoms of Anxiety Disorder,Washington,28.5,24.5,32.8,24.5 - 32.8,26.3 - 28.7
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,35,30.8,39.3,30.8 - 39.3,33.5 - 36.0
Symptoms of Depressive Disorder,Washington,23.2,20.2,26.5,20.2 - 26.5,20.8-23.2
Symptoms of Anxiety Disorder,Washington,28.9,25.8,32.1,25.8 - 32.1,28.9-36.1
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,33,29.8,36.2,29.8 - 36.2,32.6-34.9
Symptoms of Depressive Disorder,Washington,22.2,19.2,25.5,19.2 - 25.5,21.0-22.9
Symptoms of Anxiety Disorder,Washington,26.8,23.8,29.9,23.8 - 29.9,24.8-28.6
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,31.8,28.7,35,28.7 - 35.0,29.6-33.1
Symptoms of Depressive Disorder,Washington,27.1,23.1,31.3,23.1 - 31.3,26.9-31.8
Symptoms of Anxiety Disorder,Washington,31.7,28.1,35.5,28.1 - 35.5,29.7-31.7
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,36.7,33.2,40.4,33.2 - 40.4,34.3-36.9
Symptoms of Depressive Disorder,Washington,21.4,18.4,24.6,18.4 - 24.6,21.3-25.0
Symptoms of Anxiety Disorder,Washington,29.4,26.4,32.6,26.4 - 32.6,26.5-29.8
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,31.9,28.7,35.2,28.7 - 35.2,31.1-34.7
Symptoms of Depressive Disorder,Washington,22.5,19.6,25.6,19.6 - 25.6,21.8-23.9
Symptoms of Anxiety Disorder,Washington,29.3,25.3,33.5,25.3 - 33.5,27.4-30.5
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,34.2,30.3,38.2,30.3 - 38.2,32.3-34.9
Symptoms of Depressive Disorder,Washington,26.4,23.3,29.6,23.3 - 29.6,25.1-28.7
Symptoms of Anxiety Disorder,Washington,30.5,27.2,34,27.2 - 34.0,27.8-30.8
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,34.7,31.3,38.2,31.3 - 38.2,34.5-38.3
Symptoms of Depressive Disorder,Washington,31.1,27.2,35.1,27.2 - 35.1,29.0-34.5
Symptoms of Anxiety Disorder,Washington,37,33,41.1,33.0 - 41.1,34.8-40.5
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,42,38.1,46,38.1 - 46.0,39.5-45.1
Symptoms of Depressive Disorder,Washington,27.8,24.5,31.3,24.5 - 31.3,26.8-29.3
Symptoms of Anxiety Disorder,Washington,37.5,34.7,40.5,34.7 - 40.5,35.4-40.6
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,42,38.9,45.1,38.9 - 45.1,40.7-44.8
Symptoms of Depressive Disorder,Washington,27.2,23.7,30.9,23.7 - 30.9,24.1-27.2
Symptoms of Anxiety Disorder,Washington,35.7,32,39.6,32.0 - 39.6,34.3-37.8
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,40.5,36.4,44.6,36.4 - 44.6,38.4-42.0
Symptoms of Depressive Disorder,Washington,32.2,27.8,36.9,27.8 - 36.9,29.4-32.2
Symptoms of Anxiety Disorder,Washington,37.1,32,42.3,32.0 - 42.3,35.6-38.4
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,43.8,39.3,48.5,39.3 - 48.5,43.6-50.2
Symptoms of Depressive Disorder,Washington,23.6,21.3,26.1,21.3 - 26.1,21.0-23.8
Symptoms of Anxiety Disorder,Washington,32.7,30.4,35.2,30.4 - 35.2,30.7-33.3
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,37.2,34.9,39.6,34.9 - 39.6,35.7-38.2
Symptoms of Depressive Disorder,Washington,22.7,20.5,24.9,20.5 - 24.9,21.8-23.2
Symptoms of Anxiety Disorder,Washington,30.8,28.8,32.9,28.8 - 32.9,29.1-31.1
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,35.4,33.3,37.6,33.3 - 37.6,35.4-38.1
Symptoms of Depressive Disorder,Washington,25.7,23.3,28.3,23.3 - 28.3,24.1-26.8
Symptoms of Anxiety Disorder,Washington,34.6,32,37.3,32.0 - 37.3,34.0-41.1
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,39.9,36.9,42.9,36.9 - 42.9,38.5-47.6
Symptoms of Depressive Disorder,Washington,25.2,22.7,27.7,22.7 - 27.7,24.5-26.0
Symptoms of Anxiety Disorder,Washington,34.5,31.4,37.7,31.4 - 37.7,34.0-39.3
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,38.5,35.4,41.8,35.4 - 41.8,36.7-38.8
Symptoms of Depressive Disorder,Washington,28.4,25.5,31.4,25.5 - 31.4,27.4-33.4
Symptoms of Anxiety Disorder,Washington,35.9,32.7,39.2,32.7 - 39.2,34.9-39.5
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,41.7,38.6,44.8,38.6 - 44.8,39.7-46.3
Symptoms of Depressive Disorder,Washington,24.4,21.3,27.6,21.3 - 27.6,17.0-24.4
Symptoms of Anxiety Disorder,Washington,34.7,31.5,38.1,31.5 - 38.1,22.3-34.7
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,38.8,35.3,42.3,35.3 - 42.3,25.5-38.8
Symptoms of Depressive Disorder,Washington,27.7,24.4,31.2,24.4 - 31.2,27.6-30.1
Symptoms of Anxiety Disorder,Washington,36.3,33.4,39.3,33.4 - 39.3,34.4-36.3
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,43.4,40,46.7,40.0 - 46.7,41.6-44.3
Symptoms of Depressive Disorder,Washington,29.4,26.3,32.6,26.3 - 32.6,28.5-31.2
Symptoms of Anxiety Disorder,Washington,37.5,33.9,41.1,33.9 - 41.1,36.1-37.7
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,43.3,39.9,46.7,39.9 - 46.7,41.4-43.7
Symptoms of Depressive Disorder,Washington,31.2,28.5,34,28.5 - 34.0,29.7-32.3
Symptoms of Anxiety Disorder,Washington,36.8,33.5,40.1,33.5 - 40.1,36.0-38.1
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,42.4,39.3,45.7,39.3 - 45.7,41.2-44.1
Symptoms of Depressive Disorder,Washington,30.1,26.9,33.4,26.9 - 33.4,28.1-30.1
Symptoms of Anxiety Disorder,Washington,37.9,34.6,41.4,34.6 - 41.4,37.4-49.2
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,44.1,40.9,47.3,40.9 - 47.3,42.9-52.3
Symptoms of Depressive Disorder,Washington,33.2,29.5,37.1,29.5 - 37.1,30.4-34.0
Symptoms of Anxiety Disorder,Washington,41,37.5,44.6,37.5 - 44.6,37.2-43.4
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,46.3,42.5,50.1,42.5 - 50.1,43.3-47.5
Symptoms of Depressive Disorder,Washington,28.7,25.5,32.1,25.5 - 32.1,27.4-29.8
Symptoms of Anxiety Disorder,Washington,36.4,32.9,40,32.9 - 40.0,35.6-39.8
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,40.9,37.4,44.6,37.4 - 44.6,40.7-45.1
Symptoms of Depressive Disorder,Washington,27.8,25,30.7,25.0 - 30.7,27.5-29.1
Symptoms of Anxiety Disorder,Washington,34.2,30.7,37.9,30.7 - 37.9,32.9-34.4
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,40.1,36.9,43.4,36.9 - 43.4,38.3-40.1
Symptoms of Depressive Disorder,Washington,26.6,23.4,29.9,23.4 - 29.9,25.0-28.1
Symptoms of Anxiety Disorder,Washington,32.5,29.4,35.7,29.4 - 35.7,31.5-33.1
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,37.3,34.1,40.6,34.1 - 40.6,36.1-38.7
Symptoms of Depressive Disorder,Washington,23.3,20.9,25.8,20.9 - 25.8,22.5-23.5
Symptoms of Anxiety Disorder,Washington,29.7,26.6,32.9,26.6 - 32.9,29.2-31.4
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,35.6,32.9,38.5,32.9 - 38.5,34.8-36.2
Symptoms of Depressive Disorder,Washington,21.9,18.6,25.6,18.6 - 25.6,19.6-22.3
Symptoms of Anxiety Disorder,Washington,25.2,22.2,28.4,22.2 - 28.4,23.6-26.7
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,29.7,26.5,33.1,26.5 - 33.1,28.8-31.4
Symptoms of Depressive Disorder,Washington,22.7,19.5,26.1,19.5 - 26.1,20.8-23.1
Symptoms of Anxiety Disorder,Washington,28.3,25.3,31.5,25.3 - 31.5,27.9-30.8
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,32.6,29.5,35.8,29.5 - 35.8,31.9-35.5
Symptoms of Depressive Disorder,Washington,20.2,17.7,22.9,17.7 - 22.9,19.0-20.6
Symptoms of Anxiety Disorder,Washington,27,24.4,29.6,24.4 - 29.6,25.0-27.0
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,31.3,28.6,34.1,28.6 - 34.1,29.0-32.3
Symptoms of Depressive Disorder,Washington,22.5,19.3,26,19.3 - 26.0,22.4-28.2
Symptoms of Anxiety Disorder,Washington,27.8,24.4,31.4,24.4 - 31.4,27.0-31.8
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,32.4,28.7,36.2,28.7 - 36.2,31.9-36.5
Symptoms of Depressive Disorder,Washington,21.3,19,23.8,19.0 - 23.8,20.8-22.3
Symptoms of Anxiety Disorder,Washington,24.8,22.4,27.3,22.4 - 27.3,22.9-25.1
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,29,26.3,31.9,26.3 - 31.9,26.8-29.8
Symptoms of Depressive Disorder,Washington,18.8,16.2,21.6,16.2 - 21.6,17.5-20.3
Symptoms of Anxiety Disorder,Washington,23.9,21,26.9,21.0 - 26.9,22.6-24.1
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,28.3,25.3,31.4,25.3 - 31.4,28.2-31.2
Symptoms of Depressive Disorder,Washington,25.5,22.6,28.7,22.6 - 28.7,24.3-31.3
Symptoms of Anxiety Disorder,Washington,30.3,27.4,33.4,27.4 - 33.4,29.7-36.0
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,34.7,31.7,37.8,31.7 - 37.8,34.3-40.9
Symptoms of Depressive Disorder,Washington,21.4,18.5,24.5,18.5 - 24.5,21.2-23.1
Symptoms of Anxiety Disorder,Washington,27.9,25,31,25.0 - 31.0,25.9-27.9
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,31.1,28.1,34.2,28.1 - 34.2,30.4-32.4
Symptoms of Depressive Disorder,Washington,23.7,20.8,26.7,20.8 - 26.7,22.6-25.0
Symptoms of Anxiety Disorder,Washington,29.4,26.2,32.8,26.2 - 32.8,27.6-30.0
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,33.7,30.4,37.1,30.4 - 37.1,31.6-34.0
Symptoms of Depressive Disorder,Washington,24.2,21,27.7,21.0 - 27.7,21.3-24.2
Symptoms of Anxiety Disorder,Washington,28.9,25.4,32.5,25.4 - 32.5,27.1-29.5
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,34.1,30.4,37.9,30.4 - 37.9,33.8-44.4
Symptoms of Depressive Disorder,Washington,23.6,20.4,26.9,20.4 - 26.9,21.4-25.5
Symptoms of Anxiety Disorder,Washington,30.7,27.7,33.8,27.7 - 33.8,30.2-39.2
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,36.2,32.5,40,32.5 - 40.0,35.7-41.7
Symptoms of Depressive Disorder,Washington,23.1,20,26.5,20.0 - 26.5,22.6-24.0
Symptoms of Anxiety Disorder,Washington,28.2,24.4,32.1,24.4 - 32.1,27.4-29.1
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,33.5,30,37.1,30.0 - 37.1,32.0-34.1
Symptoms of Depressive Disorder,Washington,23.7,21.1,26.4,21.1 - 26.4,23.2-28.2
Symptoms of Anxiety Disorder,Washington,30.1,27.6,32.6,27.6 - 32.6,29.1-36.7
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,33.6,31,36.3,31.0 - 36.3,33.3-39.9
Symptoms of Depressive Disorder,Washington,21.4,18.7,24.3,18.7 - 24.3,21.1-22.3
Symptoms of Anxiety Disorder,Washington,28.1,25.2,31.3,25.2 - 31.3,28.1-30.4
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,32.7,29.4,36.1,29.4 - 36.1,32.3-34.6
Symptoms of Depressive Disorder,Washington,22.6,20.4,24.8,20.4 - 24.8,21.8-23.8
Symptoms of Anxiety Disorder,Washington,27.6,25.3,30,25.3 - 30.0,27.0-29.3
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,32.3,29.9,34.7,29.9 - 34.7,31.8-33.4
Symptoms of Depressive Disorder,Washington,21.3,18.3,24.5,18.3 - 24.5,21.1-22.8
Symptoms of Anxiety Disorder,Washington,30.7,27.4,34.2,27.4 - 34.2,29.6-35.2
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,33.9,30.6,37.4,30.6 - 37.4,33.8-38.8
Symptoms of Depressive Disorder,Washington,19.4,17.1,21.9,17.1 - 21.9,16.0-19.9
Symptoms of Anxiety Disorder,Washington,25.3,22.9,27.9,22.9 - 27.9,24.8-26.4
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,28.4,25.9,31,25.9 - 31.0,25.0-28.5
Symptoms of Depressive Disorder,Washington,23.2,20.2,26.4,20.2 - 26.4,23.2-30.3
Symptoms of Anxiety Disorder,Washington,29.8,26.7,32.9,26.7 - 32.9,28.0-32.8
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,34.3,31.5,37.3,31.5 - 37.3,32.0-38.0
Symptoms of Depressive Disorder,Washington,20.4,17.9,23.1,17.9 - 23.1,19.6-21.6
Symptoms of Anxiety Disorder,Washington,26.1,23.5,29,23.5 - 29.0,26.0-28.3
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,30.7,27.8,33.6,27.8 - 33.6,29.9-31.4
Symptoms of Depressive Disorder,Washington,18.8,15.8,22,15.8 - 22.0,12.4-20.4
Symptoms of Anxiety Disorder,Washington,24.7,22.2,27.3,22.2 - 27.3,23.2-26.4
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,28.5,25.2,32,25.2 - 32.0,25.5-30.3
Symptoms of Depressive Disorder,Washington,19.3,16.7,22.1,16.7 - 22.1,15.8-19.3
Symptoms of Anxiety Disorder,Washington,25.9,23.1,29,23.1 - 29.0,25.7-27.1
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,30.5,27.5,33.6,27.5 - 33.6,29.5-31.4
Symptoms of Depressive Disorder,Washington,23.2,20.1,26.5,20.1 - 26.5,22.4-24.4
Symptoms of Anxiety Disorder,Washington,31.3,28.2,34.6,28.2 - 34.6,31.0-33.9
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,35.7,32.3,39.1,32.3 - 39.1,33.2-35.9
Symptoms of Depressive Disorder,Washington,26.5,22.5,30.8,22.5 - 30.8,23.8-26.9
Symptoms of Anxiety Disorder,Washington,30.8,26.8,35,26.8 - 35.0,28.4-31.2
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,36.9,32.6,41.4,32.6 - 41.4,35.8-38.5
Symptoms of Depressive Disorder,Washington,21.2,18.8,23.6,18.8 - 23.6,21.1-24.0
Symptoms of Anxiety Disorder,Washington,28.8,26.5,31.1,26.5 - 31.1,28.6-30.7
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,33.3,30.9,35.9,30.9 - 35.9,33.0-35.2
Symptoms of Depressive Disorder,Washington,20.6,17.8,23.5,17.8 - 23.5,13.7-20.6
Symptoms of Anxiety Disorder,Washington,25.3,22.6,28.1,22.6 - 28.1,19.6-26.8
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,30.1,27.2,33.2,27.2 - 33.2,24.5-30.9
Symptoms of Depressive Disorder,Washington,22.3,19.7,25,19.7 - 25.0,21.8-22.9
Symptoms of Anxiety Disorder,Washington,27.8,25.3,30.5,25.3 - 30.5,27.5-29.3
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,31.3,28.7,34.1,28.7 - 34.1,29.5-32.0
Symptoms of Depressive Disorder,Washington,21.2,18.8,23.8,18.8 - 23.8,19.6-21.3
Symptoms of Anxiety Disorder,Washington,28.1,25.5,30.7,25.5 - 30.7,25.7-28.2
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,32.6,30,35.2,30.0 - 35.2,32.1-34.3
Symptoms of Depressive Disorder,Washington,20.1,17.6,22.7,17.6 - 22.7,20.1-21.5
Symptoms of Anxiety Disorder,Washington,28,25.2,30.9,25.2 - 30.9,27.9-29.7
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,32.2,29.5,35,29.5 - 35.0,30.5-32.2
Symptoms of Depressive Disorder,Washington,20,17.2,22.9,17.2 - 22.9,18.6-21.2
Symptoms of Anxiety Disorder,Washington,27.9,25,30.8,25.0 - 30.8,26.3-27.9
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,31.8,28.7,35,28.7 - 35.0,30.2-32.6
Symptoms of Depressive Disorder,Washington,21.2,18.5,24,18.5 - 24.0,20.8-23.3
Symptoms of Anxiety Disorder,Washington,26.2,23.1,29.4,23.1 - 29.4,25.0-27.3
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,31.2,28.2,34.3,28.2 - 34.3,29.8-31.5
Symptoms of Depressive Disorder,Washington,18.3,15.9,21,15.9 - 21.0,14.0-18.8
Symptoms of Anxiety Disorder,Washington,27.3,24.7,30.1,24.7 - 30.1,26.4-27.5
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,31,28.3,33.8,28.3 - 33.8,30.2-31.9
Symptoms of Depressive Disorder,Washington,20.9,18.6,23.4,18.6 - 23.4,19.6-21.3
Symptoms of Anxiety Disorder,Washington,29.9,27.2,32.7,27.2 - 32.7,27.5-29.9
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,33.3,30.7,36.1,30.7 - 36.1,32.7-35.1
Symptoms of Depressive Disorder,Washington,20.5,17.5,23.7,17.5 - 23.7,19.2-21.2
Symptoms of Anxiety Disorder,Washington,29.2,26.1,32.5,26.1 - 32.5,28.2-30.7
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,32.8,29.7,35.9,29.7 - 35.9,32.1-35.1
Symptoms of Depressive Disorder,Washington,21.7,19,24.5,19.0 - 24.5,20.7-26.6
Symptoms of Anxiety Disorder,Washington,28.4,25.9,30.9,25.9 - 30.9,26.5-31.3
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,32.6,30.2,35.1,30.2 - 35.1,31.4-37.0
Symptoms of Depressive Disorder,Washington,20.9,18.4,23.5,18.4 - 23.5,20.5-21.9
Symptoms of Anxiety Disorder,Washington,30.2,27.3,33.4,27.3 - 33.4,28.4-31.4
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,34.3,31,37.7,31.0 - 37.7,33.6-36.2
Symptoms of Depressive Disorder,Washington,26.2,23.6,28.9,23.6 - 28.9,24.6-27.8
Symptoms of Anxiety Disorder,Washington,31.7,29.3,34.2,29.3 - 34.2,31.7-34.8
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,36.4,33.6,39.3,33.6 - 39.3,36.4-41.0
Symptoms of Depressive Disorder,Washington,13.9,11.9,16.2,11.9 - 16.2,13.9-15.6
Symptoms of Anxiety Disorder,Washington,17.9,15.1,21.1,15.1 - 21.1,17.2-19.1
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,21.5,18.8,24.4,18.8 - 24.4,20.9-23.3
Symptoms of Depressive Disorder,Washington,13.1,11.3,15.1,11.3 - 15.1,12.4-13.2
Symptoms of Anxiety Disorder,Washington,17.5,15.4,19.7,15.4 - 19.7,15.4-17.5
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,20.9,18.7,23.2,18.7 - 23.2,19.0-20.9
Symptoms of Depressive Disorder,Washington,13.8,11.7,16,11.7 - 16.0,12.1-13.8
Symptoms of Anxiety Disorder,Washington,19.5,16.9,22.3,16.9 - 22.3,19.4-21.5
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,22.5,19.7,25.5,19.7 - 25.5,21.3-22.8
Symptoms of Depressive Disorder,Washington,16.1,13.5,18.9,13.5 - 18.9,15.0-20.4
Symptoms of Anxiety Disorder,Washington,18.6,15.8,21.8,15.8 - 21.8,18.6-19.3
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,23.9,20.8,27.1,20.8 - 27.1,23.1-26.8
Symptoms of Depressive Disorder,Washington,15.7,13.4,18.3,13.4 - 18.3,15.1-18.6
Symptoms of Anxiety Disorder,Washington,19.3,17.3,21.5,17.3 - 21.5,19.3-22.8
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,23.5,21.2,25.9,21.2 - 25.9,23.2-27.3
Symptoms of Depressive Disorder,Washington,13.8,11.6,16.2,11.6 - 16.2,13.4-15.3
Symptoms of Anxiety Disorder,Washington,17.1,14.5,19.9,14.5 - 19.9,15.8-17.2
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,20.3,17.5,23.4,17.5 - 23.4,19.2-20.8
Symptoms of Depressive Disorder,Washington,14.1,12.1,16.3,12.1 - 16.3,14.0-15.5
Symptoms of Anxiety Disorder,Washington,17.6,15.4,19.9,15.4 - 19.9,16.2-17.8
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,21.1,18.8,23.5,18.8 - 23.5,18.9-21.4
Symptoms of Depressive Disorder,Washington,15,13,17.3,13.0 - 17.3,13.6-15.0
Symptoms of Anxiety Disorder,Washington,20.3,17.7,23.1,17.7 - 23.1,19.2-21.8
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,22.4,19.8,25.1,19.8 - 25.1,21.3-22.7
Symptoms of Depressive Disorder,Washington,12.6,10.2,15.3,10.2 - 15.3,12.5-13.8
Symptoms of Anxiety Disorder,Washington,16.4,14.1,18.9,14.1 - 18.9,16.4-18.0
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,19.9,17.4,22.6,17.4 - 22.6,19.5-21.5
Symptoms of Depressive Disorder,West Virginia,23.4,19.5,27.6,19.5 - 27.6,22.2 - 24.0
Symptoms of Anxiety Disorder,West Virginia,28.8,24,33.9,24.0 - 33.9,27.9 - 30.3
Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,34.3,29.5,39.3,29.5 - 39.3,33.4 - 34.7
Symptoms of Depressive Disorder,West Virginia,31.8,24.7,39.7,24.7 - 39.7,25.7 - 35.5
Symptoms of Anxiety Disorder,West Virginia,34.6,27.3,42.4,27.3 - 42.4,31.6 - 38.3
Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,39,32.1,46.3,32.1 - 46.3,36.1 - 48.4
Symptoms of Depressive Disorder,West Virginia,27,20.9,33.9,20.9 - 33.9,25.7-36.4
Symptoms of Anxiety Disorder,West Virginia,29.3,22,37.4,22.0 - 37.4,28.9-36.1
Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,34.3,27.4,41.6,27.4 - 41.6,32.6-34.9
Symptoms of Depressive Disorder,West Virginia,22,17.4,27.2,17.4 - 27.2,21.0-22.9
Symptoms of Anxiety Disorder,West Virginia,34.5,28.8,40.5,28.8 - 40.5,30.7-36.0
Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,37.9,32.3,43.8,32.3 - 43.8,35.6-41.4
Symptoms of Depressive Disorder,West Virginia,26.2,21.5,31.3,21.5 - 31.3,24.4-26.8
Symptoms of Anxiety Disorder,West Virginia,33.6,28,39.5,28.0 - 39.5,31.8-37.1
Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,38.9,32.9,45,32.9 - 45.0,37.0-40.0
Symptoms of Depressive Disorder,West Virginia,27.9,22.3,34.1,22.3 - 34.1,27.3-30.3
Symptoms of Anxiety Disorder,West Virginia,35.8,30.3,41.7,30.3 - 41.7,32.8-36.3
Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,38.9,33.1,45,33.1 - 45.0,37.7-40.7
Symptoms of Depressive Disorder,West Virginia,23.5,17.2,30.8,17.2 - 30.8,21.8-23.9
Symptoms of Anxiety Disorder,West Virginia,26.7,20,34.4,20.0 - 34.4,22.7-27.3
Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,32.2,24.7,40.3,24.7 - 40.3,25.5-32.2
Symptoms of Depressive Disorder,West Virginia,30.2,24,37,24.0 - 37.0,28.8-35.6
Symptoms of Anxiety Disorder,West Virginia,34.7,28.3,41.5,28.3 - 41.5,33.4-41.3
Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,38.4,31.8,45.3,31.8 - 45.3,38.4-46.8
Symptoms of Depressive Disorder,West Virginia,34.5,28.3,41.1,28.3 - 41.1,29.0-34.5
Symptoms of Anxiety Disorder,West Virginia,40.5,35.1,46.2,35.1 - 46.2,34.8-40.5
Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,45.1,39.3,51,39.3 - 51.0,39.5-45.1
Symptoms of Depressive Disorder,West Virginia,24.2,19.3,29.7,19.3 - 29.7,23.9-26.7
Symptoms of Anxiety Disorder,West Virginia,31.9,26.7,37.4,26.7 - 37.4,31.4-32.9
Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,34.6,29.1,40.5,29.1 - 40.5,30.9-34.8
Symptoms of Depressive Disorder,West Virginia,29.4,25.4,33.5,25.4 - 33.5,27.3-30.7
Symptoms of Anxiety Disorder,West Virginia,36.1,30.7,41.7,30.7 - 41.7,34.3-37.8
Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,40.9,35.9,46.1,35.9 - 46.1,38.4-42.0
Symptoms of Depressive Disorder,West Virginia,28,22.8,33.7,22.8 - 33.7,26.0-29.3
Symptoms of Anxiety Disorder,West Virginia,31.1,26.1,36.4,26.1 - 36.4,27.5-32.2
Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,37,31.4,42.8,31.4 - 42.8,31.8-37.1
Symptoms of Depressive Disorder,West Virginia,25.2,21.6,29.2,21.6 - 29.2,23.9-25.7
Symptoms of Anxiety Disorder,West Virginia,29,24.9,33.5,24.9 - 33.5,28.5-30.6
Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,34.5,29.9,39.3,29.9 - 39.3,33.3-35.6
Symptoms of Depressive Disorder,West Virginia,26.9,21.3,33,21.3 - 33.0,26.6-30.3
Symptoms of Anxiety Disorder,West Virginia,33.5,28.9,38.3,28.9 - 38.3,33.5-36.9
Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,38.4,33.2,43.7,33.2 - 43.7,38.2-41.7
Symptoms of Depressive Disorder,West Virginia,28,23.3,33.1,23.3 - 33.1,26.9-31.8
Symptoms of Anxiety Disorder,West Virginia,36.4,30.4,42.7,30.4 - 42.7,34.0-41.1
Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,39.2,33.3,45.4,33.3 - 45.4,38.5-47.6
Symptoms of Depressive Disorder,West Virginia,27.5,21.7,33.9,21.7 - 33.9,26.1-31.5
Symptoms of Anxiety Disorder,West Virginia,37.1,30.9,43.6,30.9 - 43.6,34.0-39.3
Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,42.8,37,48.7,37.0 - 48.7,38.9-44.0
Symptoms of Depressive Disorder,West Virginia,25.2,20.4,30.5,20.4 - 30.5,22.5-25.2
Symptoms of Anxiety Disorder,West Virginia,31.9,27.3,36.8,27.3 - 36.8,30.4-32.5
